	fleet = {
		name = "Tihookyeanskiy Flot"
		naval_base = 957
		task_force = {
			name = "Tihookyeanskiy Flot"
			location = 957 # Vladivostok
			#ship = { name = "Shch-134" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { name = "Rezvyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Ryanyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Rastoropnyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Redkiy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Razyashchyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Reshitelnyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Retivyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Revnostnyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Rekordnyy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Rezkiy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Vnushitelny" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Vlastny" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Vynoslivy" definition = destroyer equipment = { destroyer_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Lazar Kaganovich" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV } } }
			ship = { name = "Kalinin" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV } } }
			ship = { name = "S-17" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "S Class" } } }
			ship = { name = "S-18" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "S Class" } } }
			ship = { name = "S-19" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "S Class" } } }
			ship = { name = "S-20" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "S Class" } } }
			ship = { name = "S-21" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "S Class" } } }
			ship = { name = "S-25" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "S Class" } } }
			ship = { name = "K-53" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "K Class" } } }
			ship = { name = "K-55" definition = submarine equipment = { submarine_4 = { amount = 1 owner = SOV version_name = "K Class" } } }
			ship = { name = "EK-11" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-16" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-13" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-12" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-14" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-15" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-25" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-26" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-1" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-27" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-28" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-2" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
			ship = { name = "EK-3" definition = light_cruiser equipment = { light_cruiser_4 = { amount = 1 owner = SOV version_name = "Tacoma Class" } } }
