units = {

	fleet = {
		name = "Mothball Fleet"
		naval_base = 7315
		task_force = {
			name = "Battleship Division 1"
			location = 7315 # Norfolk
			ship = { name = "USS Langley" definition = carrier equipment = { carrier_1 = { amount = 1 owner = USA version_name = "Langley Class" } }

			}
			ship = { name = "USS Utah" definition = battleship equipment = { battleship_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Wyoming" definition = battleship equipment = { battleship_1 = { amount = 1 owner = USA version_name = "Wyoming Class" } } }
			ship = { name = "USS Olympia" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Chicago" definition = heavy_cruiser equipment = { heavy_cruiser_1 = { amount = 1 owner = USA } } }

			ship = { name = "USS Little" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Manley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Gwin" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Kimberly" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Gregory" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Stringham" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Dyer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Colhoun" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Stevens" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS McKee" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS McKean" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Harding" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Taylor" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Luce" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Gridley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Lansdale" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Schley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Champlin" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Mugford" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Chew" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Crane" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Ingraham" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Rathburne" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Talbot" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Waters" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Dent" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Dorsey" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Lea" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Lamberton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Radford" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Montgomery" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Breese" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Gamble" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Ramsay" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Tattnall" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Badger" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Babbitt" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Jacob Jones" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Boggs" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Kilty" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Kennison" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Ward" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Tarbell" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Upshur" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Greer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Elliot" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Roper" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Breckinridge" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Barney" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Blakeley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Biddle" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Du Pont" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Bernadou" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Ellis" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Cole" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS J. Fred Talbott" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Dickerson" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Leary" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Schenck" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Herbert" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Palmer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Thatcher" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Walker" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Crosby" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Meredith" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Bush" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Anthony" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Sproston" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Renshaw" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS O'Bannon" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Hogan" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
			ship = { name = "USS Howard" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }
